Intials,Date,Course_ID,Time(min),Summary,,
ZM,1/4/24,DS-160-01,95,Class- Class intro   HW- Checking out podcasts,,
ZM,1/4/24,MATH-116-01,130,Class- Class intro +1.5   HW- Linear equations,,
ZM,1/4/24,BU-101-01,25,HW- filling out intro form,,
ZM,1/9/24,DS-160-01,75,Class- Excel additions and types of data,,
ZM,1/9/24,MATH-116-01,115,Class- 1.5 review and 2.1   HW- 1.5 study,,
ZM,1/9/24,PHIL-101-09,30,Class- Class intro,,
ZM,1/10/24,MATH-116-01,40,HW- 1.5 studying,,
ZM,1/11/24,DS-160-01,60,Class- Group work with analysis,,
ZM,1/11/24,MATH-116-01,75,Class- 2.3,,
ZM,1/11/24,PHIL-101-09,105,Class- Going over reading HW- Reading,,
ZM,1/16/24,DS-160-01,120,Class- Numpy review and groupwork  HW- Listen to podcast,,
ZM,1/16/24,MATH-116-01,75,Class- Descriptions of Lines,,
ZM,1/18/24,DS-160-01,105,HW- wrote podcast summary Class- Groupwork and talking about groupwork,,
ZM,1/18/24,MATH-116-01,270,HW- Studying for quiz + assigned work Class- Last class review and new material,,
ZM,1/18/24,PHIL-101-09,5,Class- class canceled but prof came in to tell us,,
ZM,1/22/24,DS-160-01,15,HW- Filling in spreadsheet,,
ZM,1/22/24,MATH-116-01,200,HW- Studying and assigned ?'s,,
ZM,1/23/24,DS-160-01,75,Class- Beginning Pandas,,
ZM,1/23/24,MATH-116-01,75,Class- Defining functions,,
ZM,1/29/24,MATH-116-01,5,HW- E-mailing proffessor,,
ZM,1/29/24,DS-160-01,120,Missed Class work,,
ZM,1/30/24,DS-160-01,120,Class- Pandas Review     HW- Finishing Missed Groupwork,,
ZM,1/30/24,MATH-116-01,120,HW- Studying for quiz     Class- Quiz review + 4.1,,
ZM,1/30/24,PHIL-101-09,75,Class- Moving from Plato into later works,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
ZM,,,,,,
